file_path,category,filename,size_kb,act_tag,section_hint,needs_validation
raw\01-original.pdf,raw,01-original.pdf,6679.3,,01,PENDING
raw\12175.pdf,raw,12175.pdf,1911.7,,,PENDING
raw\12782.pdf,raw,12782.pdf,2199.5,,,PENDING
raw\16it.pdf,raw,16it.pdf,279.8,,,PENDING
raw\2011amendmentinDMCAct1957_290420175B15D.pdf,raw,2011amendmentinDMCAct1957_290420175B15D.pdf,19820.2,,,PENDING
raw\250882_english_01042024_0.pdf,raw,250882_english_01042024_0.pdf,654.7,,,PENDING
raw\250883_english_01042024.pdf,raw,250883_english_01042024.pdf,1293.2,,,PENDING
raw\250884_2_english_01042024.pdf,raw,250884_2_english_01042024.pdf,1985.5,,,PENDING
raw\32.d3.pdf,raw,32.d3.pdf,8990.1,,32,PENDING
raw\33.dhc.pdf,raw,33.dhc.pdf,9095.8,,33,PENDING
raw\33673_2026_1_12_72183_order_24-jul-2026.pdf,raw,33673_2026_1_12_72183_order_24-jul-2026.pdf,195.4,,,PENDING
raw\33673_2026_1_12_72183_order_24-jul-2026_f8eabecf.pdf,raw,33673_2026_1_12_72183_order_24-jul-2026_f8eabecf.pdf,195.4,,,PENDING
raw\34.pdf,raw,34.pdf,6362.2,,34,PENDING
raw\59605082026CRLMM29002021_181558.pdf,raw,59605082026CRLMM29002021_181558.pdf,1368.2,,,PENDING
raw\60804082026BA17122026_174305.pdf,raw,60804082026BA17122026_174305.pdf,846.1,,,PENDING
raw\60804082026BA31102026_174347.pdf,raw,60804082026BA31102026_174347.pdf,793.3,,,PENDING
raw\60805082026BA31232026_174505.pdf,raw,60805082026BA31232026_174505.pdf,804.4,,,PENDING
raw\60805082026CRLMM10872026_174424.pdf,raw,60805082026CRLMM10872026_174424.pdf,763.9,,,PENDING
raw\60805082026CRLMM19792026_174148.pdf,raw,60805082026CRLMM19792026_174148.pdf,875.1,,,PENDING
raw\60805082026CRLRMAT5112025_174251.pdf,raw,60805082026CRLRMAT5112025_174251.pdf,793.2,,,PENDING
raw\62exam.pdf,raw,62exam.pdf,1044.4,,,PENDING
raw\66-exams-nj.pdf,raw,66-exams-nj.pdf,145.6,,66,PENDING
raw\66-exams-nj_8cd2d59f.pdf,raw,66-exams-nj_8cd2d59f.pdf,145.6,,66,PENDING
raw\67905082026CMM18452023_190800.pdf,raw,67905082026CMM18452023_190800.pdf,670.6,,,PENDING
raw\68-it_cell.pdf,raw,68-it_cell.pdf,765.5,,68,PENDING
raw\74905082026FAOC822026_132213.pdf,raw,74905082026FAOC822026_132213.pdf,666.1,,,PENDING
raw\75504082026CRLA3482026_213422.pdf,raw,75504082026CRLA3482026_213422.pdf,438.4,,,PENDING
raw\76005082026CRLA8442017_144004.pdf,raw,76005082026CRLA8442017_144004.pdf,688.9,,,PENDING
raw\A2013-18.pdf,raw,A2013-18.pdf,3205.0,,18,PENDING
raw\ActAndRuleThe2520ArmsAct_171220195B15D.pdf,raw,ActAndRuleThe2520ArmsAct_171220195B15D.pdf,694.2,,,PENDING
raw\ActAndRule_TheSpecialProtectingGroup_171220195B15D.PDF,raw,ActAndRule_TheSpecialProtectingGroup_171220195B15D.PDF,830.1,,,PENDING
raw\ACT_CTCR_300820195B15D.pdf,raw,ACT_CTCR_300820195B15D.pdf,935.7,,,PENDING
raw\ACT_CTCR_UnlawfulActivitiest_300820195B15D.pdf,raw,ACT_CTCR_UnlawfulActivitiest_300820195B15D.pdf,1048.3,,,PENDING
raw\admit_card_dhjs_2026.pdf,raw,admit_card_dhjs_2026.pdf,11.4,,,PENDING
raw\adv-eng_dhjs-2026.pdf,raw,adv-eng_dhjs-2026.pdf,264.3,,,PENDING
raw\adv-eng_dhjs-2026_099d6ba0.pdf,raw,adv-eng_dhjs-2026_099d6ba0.pdf,264.3,,,PENDING
raw\advertisement_for_senior_faculty_member.pdf,raw,advertisement_for_senior_faculty_member.pdf,362.8,,,PENDING
raw\AmendmenttotheEnemyPropertyAct_110120165B15D.PDF,raw,AmendmenttotheEnemyPropertyAct_110120165B15D.PDF,134.1,,,PENDING
raw\answer_key_dhjs.pdf,raw,answer_key_dhjs.pdf,76.4,,,PENDING
raw\answer_key_dhjs_acda5f06.pdf,raw,answer_key_dhjs_acda5f06.pdf,76.4,,,PENDING
raw\answer_key_dhjs_cc2feeeb.pdf,raw,answer_key_dhjs_cc2feeeb.pdf,76.4,,,PENDING
raw\apply_link_for_dhjs_2026.pdf,raw,apply_link_for_dhjs_2026.pdf,4.4,,,PENDING
raw\APRegACT2014_015B15D.pdf,raw,APRegACT2014_015B15D.pdf,28.5,,,PENDING
raw\APRegACT2014_015B15D_0.pdf,raw,APRegACT2014_015B15D_0.pdf,28.5,,,PENDING
raw\APRegACT2014_05B15D.pdf,raw,APRegACT2014_05B15D.pdf,205.4,,,PENDING
raw\APRegACT2014_05B15D_0.pdf,raw,APRegACT2014_05B15D_0.pdf,205.4,,,PENDING
raw\AR-Rules252020105B15D.pdf,raw,AR-Rules252020105B15D.pdf,777.9,,,PENDING
raw\armed_forces_special_powers_act19585B15D.pdf,raw,armed_forces_special_powers_act19585B15D.pdf,18.8,,,PENDING
raw\arms2520act-19595B15D.pdf,raw,arms2520act-19595B15D.pdf,58.6,,,PENDING
raw\AssamRifesAct20065B15D.pdf,raw,AssamRifesAct20065B15D.pdf,10085.8,,,PENDING
raw\AssitantCustodian28E29_1311145B15D.pdf,raw,AssitantCustodian28E29_1311145B15D.pdf,16.7,,,PENDING
raw\AuthenticationOrder20025B15D.pdf,raw,AuthenticationOrder20025B15D.pdf,14425.3,,,PENDING
raw\Ayodhya_Act19935B15D.pdf,raw,Ayodhya_Act19935B15D.pdf,45.0,,,PENDING
raw\bank_account_details_dhc.pdf,raw,bank_account_details_dhc.pdf,104.5,,,PENDING
raw\bcbc61df3b552a46b7155303bedf6a75830021414aa81943d4d469ea40fe56e61785957183.pdf,raw,bcbc61df3b552a46b7155303bedf6a75830021414aa81943d4d469ea40fe56e61785957183.pdf,532.9,,,PENDING
raw\BiharReorAct2000_1309135B15D.PDF,raw,BiharReorAct2000_1309135B15D.PDF,737.0,,,PENDING
raw\BiharReorAct2000_1309135B15D_0.PDF,raw,BiharReorAct2000_1309135B15D_0.PDF,737.0,,,PENDING
raw\BM-GSR-556E_05B15D.pdf,raw,BM-GSR-556E_05B15D.pdf,8303.7,,,PENDING
raw\bsfAct26Rules5B15D.pdf,raw,bsfAct26Rules5B15D.pdf,5541.4,,,PENDING
raw\bsfAct26Rules_05B15D.pdf,raw,bsfAct26Rules_05B15D.pdf,5541.4,,,PENDING
raw\ccp19735B15D.pdf,raw,ccp19735B15D.pdf,628.6,,,PENDING
raw\CDAct1968_290520205B15D.pdf,raw,CDAct1968_290520205B15D.pdf,962.1,,,PENDING
raw\CDRegulation1968_290520205B15D.pdf,raw,CDRegulation1968_290520205B15D.pdf,1705.6,,,PENDING
raw\CDRules1968_290520205B15D.pdf,raw,CDRules1968_290520205B15D.pdf,112.1,,,PENDING
raw\census_act_19485B15D.pdf,raw,census_act_19485B15D.pdf,92.2,,,PENDING
raw\census_rules_1990_05B15D.pdf,raw,census_rules_1990_05B15D.pdf,72.3,,,PENDING
raw\Certificate-of-MHA.pdf,raw,Certificate-of-MHA.pdf,590.7,,,PENDING
raw\Certificate-of-MHA_bf670d4c.pdf,raw,Certificate-of-MHA_bf670d4c.pdf,590.7,,,PENDING
raw\Chif_gurudwara_rules_2010145B15D.PDF,raw,Chif_gurudwara_rules_2010145B15D.PDF,57.7,,,PENDING
raw\CIAct19525B15D.pdf,raw,CIAct19525B15D.pdf,25.2,,,PENDING
raw\cisfact19685B15D.pdf,raw,cisfact19685B15D.pdf,60.0,,,PENDING
raw\cisfrules20015B15D.pdf,raw,cisfrules20015B15D.pdf,198.6,,,PENDING
raw\CitizenshipAct1955_02012025_0.pdf,raw,CitizenshipAct1955_02012025_0.pdf,603.4,,,PENDING
raw\citizenship_rules2003_05B15D.pdf,raw,citizenship_rules2003_05B15D.pdf,95.8,,,PENDING
raw\combinbed_pro_05.08.2026.pdf,raw,combinbed_pro_05.08.2026.pdf,526.6,,08,PENDING
raw\combined_pro_31.07.2026.pdf,raw,combined_pro_31.07.2026.pdf,650.2,,07,PENDING
raw\Compoundingnotification06062018_15B15D.pdf,raw,Compoundingnotification06062018_15B15D.pdf,1762.8,,,PENDING
raw\CriminalLawAmendmendAct2C20055B15D.pdf,raw,CriminalLawAmendmendAct2C20055B15D.pdf,105.7,,,PENDING
raw\CriminalLawAmendmentAct19615B15D.pdf,raw,CriminalLawAmendmentAct19615B15D.pdf,13.9,,,PENDING
raw\crpf_act19495B15D.pdf,raw,crpf_act19495B15D.pdf,28.0,,,PENDING
raw\crpf_rules19555B15D.pdf,raw,crpf_rules19555B15D.pdf,178.6,,,PENDING
raw\CSCorr_1610145B15D.pdf,raw,CSCorr_1610145B15D.pdf,790.6,,,PENDING
raw\CSCorr_1610145B15D_0.pdf,raw,CSCorr_1610145B15D_0.pdf,790.6,,,PENDING
raw\CSdivTheCriminalLawAct_14082018_25B15D.pdf,raw,CSdivTheCriminalLawAct_14082018_25B15D.pdf,1606.8,,,PENDING
raw\CTCRdiv_UnlawfulActivitiesAct1967_09012020_05B15D.PDF,raw,CTCRdiv_UnlawfulActivitiesAct1967_09012020_05B15D.PDF,1064.0,,,PENDING
raw\DANICS_DANIPS_RULES_20035B15D.pdf,raw,DANICS_DANIPS_RULES_20035B15D.pdf,183.7,,,PENDING
raw\DeclarationoftheNationalLiberation_301120185B15D_0.pdf,raw,DeclarationoftheNationalLiberation_301120185B15D_0.pdf,31.0,,,PENDING
raw\DelhiMunicipalCorporationAct-1957_290420175B15D.pdf,raw,DelhiMunicipalCorporationAct-1957_290420175B15D.pdf,1799.1,,,PENDING
raw\DM_Athority_rules20065B15D.pdf,raw,DM_Athority_rules20065B15D.pdf,109.8,,,PENDING
raw\DM_NEC_Rules20065B15D.pdf,raw,DM_NEC_Rules20065B15D.pdf,372.4,,,PENDING
raw\DM_NIDM_rules20065B15D.pdf,raw,DM_NIDM_rules20065B15D.pdf,459.1,,,PENDING
raw\DM_Regulation20065B15D.pdf,raw,DM_Regulation20065B15D.pdf,679.8,,,PENDING
raw\download_admit_card_for_chfr25.pdf,raw,download_admit_card_for_chfr25.pdf,49.6,,,PENDING
raw\download_admit_card_for_chfr25_0.pdf,raw,download_admit_card_for_chfr25_0.pdf,49.6,,,PENDING
raw\E-gazette5B15D.pdf,raw,E-gazette5B15D.pdf,104.4,,,PENDING
raw\Emblem-Rules20075B15D.pdf,raw,Emblem-Rules20075B15D.pdf,4111.6,,,PENDING
raw\EnemyPropertyFourthOrdinanceDated280820165B15D.pdf,raw,EnemyPropertyFourthOrdinanceDated280820165B15D.pdf,1376.0,,,PENDING
raw\EnemyProperty_ThirdOrdiance_31-05-20165B15D.pdf,raw,EnemyProperty_ThirdOrdiance_31-05-20165B15D.pdf,698.8,,05,PENDING
